time,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,target-POS_X,target-POS_Y,target-POS_Z,target-ROT_X,target-ROT_Y,target-ROT_Z,target-ROT_W
0.0,-0.22915630784602398,-0.8494177969912303,2.248778429845001,-0.9528351472215273,1.3634355552331587,-0.09825222478162388,-0.5608380873163137,-0.05701570898305295,-0.06698034728503532,0.59636084768011,-0.5963601618049711,-0.3799394454876335,0.3799398827824721
1.0,-0.22570065034004738,-0.8498890877766485,2.248339054594121,-0.952220706539031,1.366553900278628,-0.096734077442824,-0.5609570992394175,-0.05859132575215429,-0.06671681239022291,0.5963645269232783,-0.5963621567047424,-0.3799354569469117,0.3799349650039915
2.0,-0.22397282158705908,-0.8501247331693575,2.2481193669686808,-0.9519134861977828,1.3681130728013629,-0.09597500377342406,-0.56101466942767,-0.05937971269334592,-0.06658474937138632,0.5963659133955564,-0.5963629021950799,-0.3799339610300616,0.37993311448379036
3.0,-0.22224499283407081,-0.8503603785620666,2.247899679343241,-0.9516062658565346,1.3696722453240975,-0.09521593010402414,-0.5610709474390954,-0.06016848246107534,-0.06645248939997686,0.5963669976274216,-0.5963634802019997,-0.37993279581674155,0.3799316705475974
4.0,-0.22051716408108252,-0.8505960239547757,2.247679991717801,-0.9512990455152864,1.3712314178468321,-0.0944568564346242,-0.5611259320321803,-0.06095763289262094,-0.06632003254765906,0.596367779513942,-0.5963638910928313,-0.37993196015608255,0.3799306339454413
5.0,-0.21878933532809422,-0.8508316693474848,2.247460304092361,-0.9509918251740384,1.3727905903695667,-0.09369778276522427,-0.5611796219689869,-0.06174716182182471,-0.06618737888640144,0.5963682589507651,-0.5963641352349986,-0.3799314528958129,0.379930005424581
6.0,-0.21706150657510592,-0.8510673147401939,2.2472406164669207,-0.9506846048327902,1.3743497628923014,-0.09293870909582433,-0.5612320160151621,-0.06253706707909754,-0.06605452848847491,0.5963684358341187,-0.596364212996019,-0.37993127288226597,0.3799297857295034
7.0,-0.21533367782211763,-0.851302960132903,2.2470209288414806,-0.950377384491542,1.3759089354150362,-0.09217963542642439,-0.5612831129399477,-0.0633273464914248,-0.06592148142645371,0.5963683100608106,-0.5963641247435026,-0.3799314189603855,0.3799299756019219
8.0,-0.21360584906912933,-0.851538605525612,2.2468012412160405,-0.9500701641502939,1.3774681079377709,-0.09142056175702445,-0.5613329115161885,-0.0641179978823723,-0.06578823777321388,0.5963678815282278,-0.5963638708451509,-0.3799318899737329,0.3799305757807723
9.0,-0.21187802031614106,-0.8517742509183212,2.2465815535906004,-0.9497629438090457,1.3790272804605055,-0.09066148808762453,-0.5613814105203412,-0.06490901907209148,-0.06565479760193402,0.5963671501343384,-0.5963634516687562,-0.37993268476449293,0.3799315870022115
10.0,-0.21015019156315276,-0.8520098963110302,2.2463618659651607,-0.9494557234677975,1.3805864529832401,-0.0899024144182246,-0.5614286087324842,-0.0657004078773256,-0.06552116098609448,0.5963661157776897,-0.5963628675822011,-0.3799338021734808,0.379933009999615
11.0,-0.20842236281016446,-0.8522455417037392,2.2461421783397206,-0.9491485031265493,1.382145625505975,-0.08914334074882466,-0.5614745049363268,-0.066492162111415,-0.06538732799947697,0.596364778357409,-0.5963621189534578,-0.3799352410401483,0.3799348455035741
12.0,-0.20669453405717617,-0.8524811870964484,2.2459224907142805,-0.9488412827853012,1.3837047980287096,-0.08838426707942472,-0.5615190979192167,-0.06728427958430314,-0.06525329871616428,0.596363137773204,-0.5963612061505859,-0.3799370002025902,0.37993709424189404
13.0,-0.20496670530418787,-0.8527168324891574,2.2457028030888404,-0.948534062444053,1.3852639705514442,-0.08762519341002478,-0.5615623864721503,-0.0680767581025424,-0.06511907321054089,0.5963611939253627,-0.5963601295417333,-0.3799390784975503,0.379939756939591
14.0,-0.20777155007311562,-0.8524742844473766,2.2439899467828983,-0.9450605921245842,1.3829536380256353,-0.08928715029785585,-0.5623978649627843,-0.06657896668056694,-0.06511418672384031,0.5967127822671039,-0.5966755315581352,-0.3794542482520747,0.37937664530426984
15.0,-0.2091739724575795,-0.8523530104264863,2.2431335186299273,-0.9433238569648498,1.381798471762731,-0.09011812874177139,-0.5628138309659712,-0.06582853729549042,-0.06511094920422031,0.5968874160208735,-0.5968333858700618,-0.37921105067080774,0.3790966910379788
16.0,-0.21057639484204335,-0.8522317364055958,2.242277090476956,-0.9415871218051154,1.3806433054998264,-0.09094910718568691,-0.5632286122721913,-0.06507708804107301,-0.06510718179091696,0.5970612755901267,-0.5969913415016587,-0.378967335349381,0.3788178059449299
17.0,-0.21197881722650724,-0.8521104623847054,2.2414206623239847,-0.9398503866453809,1.379488139236922,-0.09178008562960245,-0.5636422069844903,-0.06432462085587187,-0.0651028842028796,0.5972343605465777,-0.5971493977903037,-0.37872310521497704,0.37853999112052067
18.0,-0.2133812396109711,-0.8519891883638151,2.2405642341710137,-0.9381136514856465,1.3783329729740175,-0.09261106407351798,-0.5640546132096824,-0.06357113768124746,-0.06509805615992169,0.5974066704631816,-0.597307554072965,-0.3784783631971901,0.3782632476530643
19.0,-0.21478366199543497,-0.8518679143429246,2.2397078060180426,-0.9363769163259121,1.3771778067111131,-0.09344204251743352,-0.5644658290583503,-0.06281664046135509,-0.06509269738272207,0.5975782049141368,-0.5974658096862046,-0.37823311222800926,0.37798757662378296
20.0,-0.21618608437989886,-0.8517466403220343,2.2388513778650716,-0.9346401811661776,1.3760226404482085,-0.09427302096134904,-0.5648758526448481,-0.06206113114313527,-0.0650868075928265,0.5977489634748842,-0.5976241639661778,-0.3779873552418024,0.37771297910680307
21.0,-0.21758850676436273,-0.8516253663011439,2.2379949497121006,-0.9329034460064433,1.3748674741853042,-0.09510399940526458,-0.5652846820873005,-0.06130461167630552,-0.06508038651264995,0.5979189457221078,-0.5977826162486368,-0.37774109517529914,0.3774394561691496
22.0,-0.2189909291488266,-0.8515040922802535,2.237138521559129,-0.9311667108467089,1.3737123079223998,-0.0959349778491801,-0.5656923155076073,-0.06054708401335054,-0.06507343386547756,0.5980881512337374,-0.5979411658689303,-0.37749433496757573,0.37716700887074167
23.0,-0.22039335153329048,-0.8513828182593631,2.236282093406158,-0.9294299756869744,1.3725571416594953,-0.09676595629309565,-0.5660987510314424,-0.05978855010951364,-0.06506594937546663,0.5982565795889468,-0.5980998121620059,-0.3772470775600372,0.37689563826438593
24.0,-0.22179577391775435,-0.8512615442384727,2.235425665253187,-0.92769324052724,1.371401975396591,-0.09759693473701117,-0.5665039867882566,-0.059029011922787734,-0.06505793276764812,0.598424230368156,-0.5982585544624109,-0.3769993258964021,0.3766253453957725
25.0,-0.2231981963022182,-0.8511402702175823,2.234569237100216,-0.9259565053675056,1.3702468091336863,-0.09842791318092671,-0.5669080209112789,-0.058268471413906155,-0.0650493837679282,0.5985911031530313,-0.5984173921042948,-0.3767510829226861,0.3763561313034703
26.0,-0.22460061868668207,-0.851018996196692,2.233712808947245,-0.9242197702077712,1.369091642870782,-0.09925889162484224,-0.5673108515375176,-0.05750693054633384,-0.06504030210309036,0.5987571975264867,-0.5985763244214095,-0.37650235158718487,0.3760879970189199
27.0,-0.22600304107114597,-0.8508977221758015,2.232856380794274,-0.9224830350480367,1.3679364766078774,-0.10008987006875777,-0.5677124768077615,-0.056744391286258376,-0.06503068750079649,0.5989225130726837,-0.5987353507471117,-0.37625313484045797,0.37582094356643064
28.0,-0.22740546345560983,-0.8507764481549112,2.2319999526413024,-0.9207462998883024,1.366781310344973,-0.1009208485126733,-0.5681128948665821,-0.05598085560258082,-0.0650205396895886,0.5990870493770326,-0.5988944704143635,-0.3760034356353134,0.37555497196317456
