time,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,target-POS_X,target-POS_Y,target-POS_Z
0.0,-1.243220926909026,-2.783745064316155,-2.1258634163184515,2.135006173457225,1.2636314256954546,3.025873179850516,-0.0051299999468028545,1.0047065019607544,0.10514531284570694
1.0,-1.2445840144545668,-2.783788873921358,-2.1259227241910135,2.1347431871408653,1.2666462634336855,3.0264495429184426,-0.004937049071028855,1.0047066576139891,0.1051453727170056
2.0,-1.2459484941133956,-2.7838308909550995,-2.125978598857435,2.134477834901682,1.26966269505522,3.027024474924583,-0.004744098784581114,1.0047071313113636,0.10514554834441601
3.0,-1.247314347421073,-2.7838711154510762,-2.1260310414634627,2.1342101104830973,1.2726807012543369,3.027597985243003,-0.004551149681141642,1.0047079230514202,0.10514583972739783
4.0,-1.2486815558553572,-2.783909547522625,-2.126080053175395,2.133940007772447,1.2757002626730967,3.028170083197344,-0.004358202354388812,1.0047090328317227,0.10514624686505447
5.0,-1.2500501008371818,-2.783946187362795,-2.126125635180113,2.1336675208006235,1.2787213599022595,3.028740778061352,-0.004165257397995527,1.0047104606488568,0.10514676975613324
6.0,-1.251419963731639,-2.7839810352444143,-2.1261677886851196,2.133392643741732,1.2817439734822114,3.029310079059396,-0.0039723154056273986,1.004712206498429,0.10514740839902528
7.0,-1.252791125848971,-2.7840140915201426,-2.1262065149185707,2.133115370912729,1.2847680839038949,3.0298779953669865,-0.0037793769709409206,1.0047142703750678,0.10514816279176559
8.0,-1.254163568445565,-2.7840453566225207,-2.1262418151293074,2.132835696773069,1.2877936716097493,3.030444536111282,-0.003586442687581636,1.004716652272423,0.10514903293203295
9.0,-1.2555372727249563,-2.784074831064007,-2.1262736905868866,2.132553615924335,1.2908207169946555,3.0310097103715985,-0.003393513149182318,1.0047193521831652,0.10515001881715011
10.0,-1.2569122198388374,-2.7841025154370054,-2.126302142581605,2.132269123109872,1.2938492004068887,3.0315735271799094,-0.0032005889493611373,1.0047223700989878,0.1051511204440836
11.0,-1.2582883908880713,-2.7841284104138917,-2.1263271724245283,2.131982213214418,1.2968791021490766,3.032135995521344,-0.003007670681719843,1.0047257060106047,0.10515233780944389
12.0,-1.2596657669237123,-2.784152516747019,-2.126348781447513,2.131692881263723,1.2999104024791657,3.0326971243346783,-0.002814758939841927,1.004729359907752,0.1051536709094853
13.0,-1.261044328948031,-2.7841748352687268,-2.126366971003231,2.1314011224241742,1.3029430816113907,3.0332569225128254,-0.0026218543172908046,1.004733331779187,0.10515511974010605
14.0,-1.2624240579155461,-2.7841953668913315,-2.1263817424651874,2.1311069320024054,1.3059771197172532,3.033815398903317,-0.0024289574076079862,1.004737621612689,0.10515668429684828
15.0,-1.2638049347340592,-2.784214112607118,-2.1263930972277407,2.130810305444912,1.309012496926503,3.034372562308785,-0.00223606880431125,1.0047422293950585,0.10515836457489808
16.0,-1.2651869402656974,-2.784231073488311,-2.126401036706119,2.1305112383376557,1.312049193328128,3.0349284214874346,-0.0020431891008928153,1.004747155112118,0.10516016056908546
17.0,-1.2665700553279597,-2.784246250687051,-2.1264055623364344,2.1302097264056687,1.315087188971349,3.0354829851535166,-0.0018503188908175214,1.004752398748712,0.10516207227388438
18.0,-1.267954260694768,-2.7842596454353505,-2.1264066755756956,2.129905765512648,1.3181264638666184,3.036036261977794,-0.001657458767520993,1.0047579602887062,0.10516409968341278
19.0,-1.269339537097522,-2.7842712590450467,-2.1264043779018227,2.1295993516605534,1.3211669979866243,3.0365882605880046,-0.001464609324407824,1.0047638397149887,0.10516624279143261
20.0,-1.2707258652261613,-2.784281092907748,-2.1263986708136526,2.129290480989194,1.3242087712673023,3.0371389895693195,-0.0012717711548497416,1.0047700370094692,0.10516850159134977
21.0,-1.2721132257302294,-2.784289148494767,-2.12638955583095,2.128979149775814,1.3272517636088494,3.0376884574647978,-0.0010789448521837906,1.0047765521530794,0.1051708760762143
22.0,-1.2735015992199428,-2.784295427357047,-2.126377034494408,2.1286653544346716,1.3302959548767443,3.038236672775837,-0.0008861310097105024,1.0047833851257733,0.10517336623872019
23.0,-1.2748909662672647,-2.7842999311250822,-2.1263611083656606,2.1283490915166174,1.333341324902771,3.038783643962621,-0.0006933302206920669,1.0047905359065266,0.10517597207120555
24.0,-1.2762813074069819,-2.784302661508826,-2.1263417790272783,2.1280303577086612,1.3363878534860483,3.0393293794445606,-0.0005005430783505101,1.0047980044733373,0.1051786935656526
25.0,-1.2776726031377856,-2.784303620297596,-2.126319048082771,2.1277091498335454,1.3394355203940629,3.0398738876007334,-0.0003077701758658754,1.0048057908032257,0.10518153071368765
26.0,-1.2790648339233566,-2.784302809359962,-2.1262929171565887,2.1273854648493034,1.3424843053637068,3.0404171767703208,-0.0001150121063743844,1.0048138948722345,0.10518448350658119
27.0,-1.280457980193453,-2.7843002306436366,-2.126263387894116,2.127059299848817,1.3455341881023182,3.0409592552530365,7.773053703337592e-05,1.0048223166554282,0.10518755193524788
28.0,-1.281852022345002,-2.784295886175349,-2.126230461961668,2.1267306520593716,1.3485851482887274,3.041500131309557,0.0002704571613142831,1.0048310561268943,0.10519073599024656
29.0,-1.2832469407431946,-2.7842897780607143,-2.126194141046487,2.126399518842207,1.351637165574305,3.0420398131619444,0.00046316717347450603,1.0048401132597424,0.10519403566178034
30.0,-1.284642715722583,-2.784281908484095,-2.126154426856728,2.1260658976920572,1.3546902195840154,3.0425783089940652,0.0006558599805713229,1.0048494880261054,0.10519745093969657
