time,ur20-shoulder_pan_joint,ur20-shoulder_lift_joint,ur20-elbow_joint,ur20-wrist_1_joint,ur20-wrist_2_joint,ur20-wrist_3_joint,target-POS_X,target-POS_Y,target-POS_Z,target-ROT_X,target-ROT_Y,target-ROT_Z,target-ROT_W
1358.0,1.3975539106853683,-0.9207590749928459,1.204252844926729,-1.6823302520978318,-1.6007255340224502,-0.17062760992924775,0.03950721397995949,1.324853777885437,0.3090187609195709,0.9961952660871696,-1.7452399041399192e-05,-1.5467272440335185e-06,0.08714924852535903
1359.0,1.3948564243966544,-0.9308030149152435,1.2196853630108448,-1.6878011060700755,-1.6011856065521175,-0.17328088535509903,0.041857603937387466,1.3168421983718872,0.3104698657989502,0.9961953732305161,-2.0319757733086284e-05,-1.873345295107295e-06,0.08714802314287365
1360.0,1.3935076812522973,-0.9358249848764424,1.227401622052903,-1.6905365330561972,-1.601415642816951,-0.17460752306802468,0.04301205649971962,1.3128082752227783,0.31117168068885803,0.9961954026128086,-2.1833636774844922e-05,-1.9475956952657815e-06,0.0871476869033448
1361.0,1.3921589381079404,-0.9408469548376411,1.2351178810949608,-1.6932719600423192,-1.6016456790817846,-0.17593416078095037,0.04415226727724075,1.3087564706802368,0.31185710430145264,0.9961954248481654,-2.3187343598591626e-05,-2.0050049650077097e-06,0.08714743237703831
1362.0,1.3873976272365065,-0.9313247532094704,1.2204801102753884,-1.6883049416281248,-1.602460612370858,-0.180637112945579,0.0521065890789032,1.316087245941162,0.31058359146118164,0.9961954766260894,-1.8486361720338035e-05,-1.6474521413456062e-06,0.08714684162526322
1363.0,1.3850169718007896,-0.9265636523953851,1.213161224865602,-1.6858214324210277,-1.6028680790153949,-0.1829885890278933,0.05610578879714012,1.3197115659713745,0.30992528796195984,0.9961954500760247,-1.6259897067886724e-05,-1.4307820060943939e-06,0.0871471455722739
1364.0,1.3828390102264676,-0.9370765366511593,1.2292494916321393,-1.6914843736777079,-1.6032356221139183,-0.1851320611051926,0.057551003992557526,1.311310887336731,0.31144848465919495,0.9961962788631527,-1.8411310955357374e-05,-1.6905362929291963e-06,0.08713767059873413
1365.0,1.3817500294393066,-0.9423329787790464,1.237293625015408,-1.694315844306048,-1.60341939366318,-0.18620379714384222,0.05825440585613251,1.3070812225341797,0.31218379735946655,0.9961966712426193,-1.9385159102326215e-05,-1.7312267065553302e-06,0.087133184415257
1366.0,1.3806610486521456,-0.9475894209069335,1.2453377583986767,-1.697147314934388,-1.6036031652124418,-0.18727553318249188,0.058945246040821075,1.302833080291748,0.31290143728256226,0.9961970681865685,-2.0563772760929342e-05,-1.8235452749578764e-06,0.08712864575035856
1367.0,1.3747019778482623,-0.9383806449444075,1.2312123083592061,-1.6924089456336433,-1.604622760838177,-0.1931519551642226,0.06856561452150345,1.3097785711288452,0.3116959035396576,0.9961962877908423,-1.964374220400339e-05,-1.739807246044967e-06,0.08713756826330202
1368.0,1.3717224424463206,-0.9337762569631445,1.2241495833394709,-1.690039760983271,-1.6051325586510443,-0.19609016615508795,0.07340306043624878,1.3132035732269287,0.3110727071762085,0.9961957925547669,-1.908357619169385e-05,-1.7104298853362145e-06,0.08714322996694206
1369.0,1.3886720633655583,-0.9267256949573531,1.2133372687921387,-1.6857580051283654,-1.6022360233410313,-0.1793818813864812,0.051013655960559845,1.3198074102401733,0.30998438596725464,0.9961970829292327,-1.857555619501256e-05,-1.8517641561471987e-06,0.08712847763393505
1370.0,1.3971468738251773,-0.9232004139544574,1.2079311115184728,-1.6836171272009128,-1.600787755686025,-0.17102773900217783,0.03974047675728798,1.3229531049728394,0.3094300925731659,0.9961969367568119,-1.8601712604164377e-05,-1.9374571929223564e-06,0.08713014889558619
1371.0,1.4056216842847962,-0.9196751329515618,1.2025249542448067,-1.68147624927346,-1.5993394880310186,-0.16267359661787448,0.0284158643335104,1.3259934186935425,0.30886906385421753,0.9961962596746378,-1.8794269357411115e-05,-1.9036157059446272e-06,0.08713788988386924
1372.0,1.414096494744415,-0.916149851948666,1.1971187969711405,-1.6793353713460073,-1.597891220376012,-0.1543194542335711,0.0170412790030241,1.3289283514022827,0.30830082297325134,0.9961950534597169,-1.914237923666368e-05,-1.7830744565794968e-06,0.08715167865727991
1373.0,1.4179936185548727,-0.9261385803393102,1.212502246388006,-1.684623534593783,-1.5972231141998594,-0.15047979943314752,0.010388041846454144,1.3211159706115723,0.3097182810306549,0.996194861445812,-1.859510201395363e-05,-1.714916302222168e-06,0.08715387358138903
1374.0,1.4199421804601013,-0.9311329445346322,1.2201939710964387,-1.687267616217671,-1.5968890611117832,-0.14855997203293572,0.007080398499965668,1.3171714544296265,0.310403972864151,0.9961947491267009,-1.848672219416838e-05,-1.7715202418984584e-06,0.08715515743484198
1375.0,1.4218907423653302,-0.9361273087299543,1.2278856958048714,-1.6899116978415587,-1.596555008023707,-0.14664014463272393,0.003785085631534457,1.3132014274597168,0.31107378005981445,0.9961945894896017,-1.801561528601531e-05,-1.6543712054510203e-06,0.08715698218929176
1376.0,1.425223927792041,-0.9270160321257199,1.2138124072924978,-1.6848714446286657,-1.595982504135053,-0.14336120657863882,0.0002473003405611962,1.3204636573791504,0.3098411560058594,0.9961948186569735,-1.5270145086033073e-05,-1.3854028235107622e-06,0.08715436332108165
1377.0,1.4268905205053968,-0.9224603938236027,1.2067757630363112,-1.6823513180222194,-1.595696252190726,-0.14172173755159628,-0.00154310732614249,1.3240687847137451,0.30920541286468506,0.9961948997773937,-1.3854851388143237e-05,-1.4073087209857942e-06,0.0871534363268083
1378.0,1.4285571132187522,-0.9179047555214855,1.1997391187801243,-1.6798311914157729,-1.5954100002463991,-0.14008226852455372,-0.003347711404785514,1.3276574611663818,0.30855682492256165,0.9961949796166076,-1.2417204658523218e-05,-1.1943896437168984e-06,0.08715252395113533
1379.0,1.4302237059321077,-0.9133491172193683,1.1927024745239376,-1.6773110648093263,-1.5951237483020722,-0.13844279949751118,-0.00516613619402051,1.3312280178070068,0.307895302772522,0.9961950256271971,-1.0997510287133307e-05,-9.801239289477582e-07,0.08715199821990569
1380.0,1.443451276508351,-0.9137206409436324,1.1931679143434677,-1.6771036463868056,-1.5928496691809113,-0.12542550486639445,-0.023700285702943802,1.3307603597640991,0.30797791481018066,0.9961950525662137,-2.7769843404840393e-06,-2.903395542150874e-07,0.08715169094631896
1381.0,1.4407608643479701,-0.9237026099036791,1.2085995186132203,-1.6826106612862877,-1.5933131082914942,-0.12807520977234477,-0.020968500524759293,1.322941780090332,0.30939406156539917,0.9961949559436896,-3.3641814770600415e-06,-3.538302872653052e-07,0.08715279537058691
